0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",AC High Voltage,"IS 16444 (Part-2), Clause No. 6.10.6"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",Insulation Resistance,"IS 16444 (Part-2), Clause No. 6.10.6"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",Limits of Error,"IS 16444 (Part-2), Clause No. 6.12"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",Meter Constant,"IS 16444 (Part-2), Clause No. 6.12"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",No Load Condition,"IS 16444 (Part-2), Clause No. 6.12"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",Power Consumption,"IS 16444 (Part-2), Clause No. 6.11.1"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",Repeatability of Error,"IS 16444 (Part-2), Clause No. 6.12"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 0.5 S",Starting Condition,"IS 16444 (Part-2), Clause No. 6.12"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",AC High Voltage,"IS 16444 (Part-1), Clause No. 6.10.6"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",Insulation Resistance,"IS 16444 (Part-1), Clause No. 6.10.6"
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",Limits of Error,"IS 16444 (Part-1), Clause No. 6.12"
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",Meter Constant,"IS 16444 (Part-1), Clause No. 6.12"
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",No Load Condition,"IS 16444 (Part-1), Clause No. 6.12"
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",Power Consumption,"IS 16444 (Part-1), Clause No. 6.11.1"
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",Repeatability of Error,"IS 16444 (Part-1), Clause No. 6.12"
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meter, Class - 1",Starting Condition,"IS 16444 (Part-1), Clause No. 6.12"
17,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",AC High Voltage,IS 13779 (Clause No.12.7.6.3)
18,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",Insulation Resistance,IS 13779 (Clause No.12.7.6.4)
19,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",Limits of Error,IS 13779 (Clause No.11.11)
20,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",Meter Constant,IS 13779 (Clause No.12.15)
21,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",No Load Condition,IS 13779 (Clause No.12.13)
22,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",Power Consumption,IS 13779 (Clause No.12.7.1)
23,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",Repeatability of Error,IS 13779 (Clause No.12.17)
24,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Watthour Meter, Class - 1",Starting Condition,IS 13779 (Clause No.12.14)
